iter	RMSE
0	726.5965732
1	693.9742176
2	664.3928764
3	637.5461731
4	613.4076423
5	591.347195
6	571.6178717
7	553.8427917
8	537.7107412
9	522.842665
10	509.8268743
11	497.8509402
12	487.0820403
13	477.3315436
14	468.356861
15	459.9822936
16	452.6884085
17	445.9754055
18	440.0664588
19	434.7591022
20	429.9030625
21	425.1698806
22	420.6756787
23	416.781974
24	413.0174887
25	409.770641
26	406.429614
27	402.8498518
28	399.9438357
29	397.4391522
30	395.1688969
31	392.8669443
32	390.7212663
33	388.4428764
34	386.5668715
35	384.3405913
36	382.2314674
37	380.5207332
38	378.7236363
39	377.2398059
40	375.8027253
41	374.3151432
42	372.3496629
43	371.0252095
44	369.9197985
45	368.0520605
46	366.9524697
47	364.1890366
48	363.2211341
49	362.3940214
50	361.5760757
51	360.6870166
52	359.6914861
53	358.3896188
54	357.7415522
55	356.8028644
56	354.4517855
57	353.3775957
58	351.3527346
59	350.7351571
60	349.7295547
61	348.7596956
62	347.4623536
63	346.8876162
64	346.1945496
65	345.071712
66	344.2966638
67	343.1469809
68	342.6686172
69	341.8360435
70	341.0119808
71	340.1923713
72	339.6686027
73	339.2829177
74	338.2930682
75	337.9523426
76	337.3042998
77	336.4764325
78	335.9458368
79	335.168579
80	334.3572079
81	332.8413265
82	332.3790389
83	330.9798924
84	329.6233611
85	329.1670943
86	328.5676987
87	327.7692964
88	327.4509704
89	326.5221785
90	326.0414312
91	325.3696392
92	324.0343076
93	323.4061818
94	322.6602833
95	321.3322199
96	320.9186258
97	320.3255687
98	319.4980763
99	318.8414684
100	318.3406096
101	317.8873292
102	317.5109886
103	316.9123618
104	316.5418975
105	315.5400846
106	315.0881843
107	314.6777171
108	314.0793993
109	313.7907262
110	313.2685199
111	312.6181089
112	311.9132128
113	311.5625685
114	311.0801908
115	310.4711013
116	309.761693
117	309.2096625
118	308.039261
119	307.6914584
120	307.304939
121	306.8536315
122	306.6279327
123	306.0590947
124	304.7862462
125	304.389698
126	304.0408796
127	303.5779803
128	303.2573863
129	302.4357047
130	302.1544729
131	301.6390045
132	301.2238715
133	300.8208835
134	299.3469711
135	299.1274109
136	298.8765572
137	298.6374288
138	297.2297058
139	296.7610655
140	296.2711079
141	296.0889278
142	295.7529337
143	295.2816066
144	295.1162859
145	294.3415738
146	293.9988412
147	293.1204522
148	292.8941818
149	292.5953248
150	291.973851
151	291.6854224
152	291.3297242
153	290.7264932
154	290.5846394
155	290.148677
156	289.7032651
157	288.564637
158	288.3218018
159	288.0123482
160	287.6098109
161	287.0122257
162	286.6491788
163	285.7727575
164	285.5354984
165	285.3935221
166	284.9877084
167	284.6602199
168	284.3369683
169	283.9652826
170	283.6627916
171	283.2790688
172	282.9982068
173	282.5389685
174	282.2194765
175	282.0557153
176	281.865364
177	281.545512
178	281.2634634
179	280.3251611
180	280.1548188
181	279.9991738
182	278.9954124
183	278.688099
184	278.3677698
185	278.1847435
186	277.9217255
187	277.5929655
188	277.1775706
189	277.0147202
190	276.5630704
191	276.3039485
192	276.0939569
193	275.8494517
194	275.6743425
195	275.387568
196	274.9314972
197	274.4904352
198	274.2916845
199	273.8622791
200	273.4389615
201	273.2980296
202	273.0587943
203	272.7588737
204	272.3622892
205	272.1537518
206	271.7899922
207	271.4965393
208	271.2549574
209	271.0511239
210	270.8311942
211	270.6281716
212	270.4193944
213	270.203216
214	269.8685835
215	269.1231567
216	269.0067631
217	268.7567055
218	268.6482185
219	268.4114846
220	268.1567248
221	267.9876045
222	267.5551141
223	267.3315598
224	266.5491107
225	266.4466989
226	266.2341276
227	266.1056455
228	265.911139
229	265.5471895
230	265.3095652
231	265.15959
232	264.9455794
233	264.8552078
234	264.2519877
235	264.0327127
236	263.7981434
237	263.5555333
238	263.4053495
239	263.2056005
240	263.0068709
241	262.5608592
242	261.8472932
243	261.595135
244	261.3265208
245	261.2139341
246	261.0390053
247	260.9362983
248	260.5319678
249	260.3210837
250	260.1430335
251	259.9036997
252	259.7503228
253	259.5654165
254	259.3750608
255	259.095006
256	258.9274781
257	258.7565052
258	258.5793696
259	258.4091032
260	258.2408573
261	258.070046
262	257.4513852
263	257.174471
264	257.0363883
265	256.9075639
266	256.8451168
267	256.4859244
268	256.2939277
269	255.9961731
270	255.8375059
271	255.6595306
