iter	Passed	Remaining
0	78	78007
1	145	72655
2	209	69463
3	274	68326
4	340	67674
5	409	67768
6	470	66709
7	544	67475
8	614	67653
9	683	67705
10	761	68508
11	843	69426
12	918	69755
13	988	69601
14	1065	69972
15	1135	69838
16	1210	69994
17	1294	70611
18	1371	70789
19	1447	70939
20	1507	70270
21	1577	70129
22	1655	70321
23	1734	70554
24	1805	70409
25	1878	70370
26	1949	70241
27	2013	69887
28	2082	69720
29	2161	69890
30	2225	69555
31	2285	69132
32	2352	68938
33	2432	69124
34	2504	69038
35	2567	68739
36	2645	68850
37	2711	68640
38	2780	68526
39	2853	68483
40	2917	68237
41	2985	68091
42	3055	68007
43	3124	67877
44	3208	68090
45	3287	68184
46	3376	68466
47	3463	68687
48	3555	68998
49	3636	69092
50	3705	68958
51	3805	69376
52	3887	69464
53	3963	69427
54	4025	69168
55	4102	69149
56	4170	68998
57	4247	68990
58	4312	68778
59	4390	68782
60	4453	68558
61	4539	68675
62	4619	68709
63	4684	68516
64	4750	68338
65	4836	68442
66	4907	68342
67	4982	68287
68	5051	68158
69	5127	68118
70	5203	68082
71	5278	68032
72	5349	67934
73	5427	67915
74	5507	67928
75	5577	67812
76	5647	67700
77	5725	67676
78	5805	67682
79	5873	67544
80	5940	67399
81	6006	67241
82	6067	67031
83	6139	66953
84	6221	66972
85	6303	66988
86	6371	66867
87	6441	66761
88	6509	66630
89	6579	66530
90	6649	66425
91	6710	66224
92	6776	66093
93	6854	66064
94	6936	66081
95	7010	66019
96	7087	65975
97	7160	65908
98	7230	65803
99	7301	65714
100	7370	65604
101	7445	65549
102	7511	65417
103	7601	65494
104	7670	65379
105	7747	65338
106	7819	65255
107	7887	65141
108	7963	65100
109	8028	64956
110	8091	64801
111	8149	64614
112	8210	64445
113	8277	64334
114	8337	64165
115	8398	64000
116	8458	63834
117	8532	63778
118	8598	63661
119	8664	63539
120	8724	63380
121	8783	63213
122	8846	63073
123	8921	63023
124	8995	62966
125	9064	62877
126	9132	62779
127	9198	62662
128	9261	62532
129	9328	62429
130	9394	62319
131	9468	62264
132	9534	62152
133	9594	62006
134	9661	61902
135	9727	61797
136	9789	61667
137	9850	61531
138	9915	61416
139	9997	61415
140	10062	61301
141	10127	61192
142	10197	61113
143	10261	61001
144	10332	60924
145	10400	60837
146	10468	60747
147	10535	60650
148	10598	60535
149	10664	60432
150	10724	60295
151	10790	60197
152	10849	60061
153	10912	59945
154	10987	59897
155	11047	59772
156	11111	59661
157	11177	59565
158	11245	59478
159	11316	59411
160	11406	59442
161	11488	59429
162	11565	59389
163	11642	59348
164	11711	59266
165	11781	59192
166	11847	59093
167	11910	58983
168	11975	58884
169	12051	58840
170	12111	58716
171	12174	58606
172	12238	58503
173	12300	58390
174	12362	58282
175	12430	58195
176	12502	58135
177	12568	58039
178	12631	57935
179	12695	57833
180	12761	57742
181	12823	57635
182	12887	57533
183	12953	57445
184	13019	57354
185	13088	57278
186	13148	57164
187	13217	57088
188	13283	56998
189	13347	56902
190	13415	56823
191	13485	56750
192	13552	56668
193	13618	56579
194	13686	56498
195	13760	56444
196	13830	56376
197	13898	56297
198	13959	56189
199	14024	56098
200	14099	56046
201	14171	55984
202	14233	55881
203	14292	55769
204	14354	55667
205	14418	55575
206	14482	55480
207	14551	55406
208	14615	55314
209	14680	55224
210	14742	55127
211	14809	55046
212	14875	54963
213	14937	54863
214	14996	54755
215	15057	54652
216	15136	54617
217	15196	54512
218	15267	54446
219	15332	54359
220	15395	54268
221	15459	54178
222	15527	54101
223	15587	53998
224	15658	53936
225	15725	53857
226	15793	53782
227	15856	53687
228	15916	53589
229	15979	53495
230	16046	53419
231	16109	53328
232	16169	53227
233	16240	53161
234	16298	53058
235	16361	52965
236	16421	52866
237	16483	52774
238	16550	52697
239	16616	52619
240	16682	52538
241	16745	52451
242	16812	52373
243	16874	52283
244	16942	52211
245	17001	52109
246	17067	52030
247	17137	51964
248	17207	51900
249	17274	51823
250	17335	51728
251	17398	51641
252	17468	51576
253	17540	51516
254	17608	51443
255	17670	51354
256	17733	51269
257	17794	51175
258	17853	51077
259	17922	51010
260	17991	50940
261	18056	50861
262	18118	50773
263	18195	50726
264	18254	50631
265	18318	50549
266	18391	50489
267	18453	50403
268	18535	50369
269	18599	50287
270	18661	50201
271	18722	50108
272	18782	50016
273	18851	49949
274	18919	49879
275	18986	49804
276	19049	49721
277	19117	49649
278	19183	49573
279	19257	49520
280	19340	49485
281	19415	49434
282	19478	49351
283	19566	49330
284	19645	49286
285	19731	49259
286	19810	49215
287	19879	49145
288	19946	49071
289	20006	48982
290	20073	48908
291	20146	48849
292	20211	48769
293	20281	48703
294	20349	48632
295	20451	48642
296	20517	48565
297	20583	48489
298	20644	48399
299	20706	48315
300	20764	48220
301	20843	48175
302	20902	48082
303	20962	47992
304	21031	47923
305	21095	47844
306	21158	47762
307	21225	47687
308	21289	47608
309	21358	47539
310	21420	47455
311	21495	47401
312	21566	47336
313	21625	47244
314	21684	47154
315	21757	47094
316	21822	47018
317	21882	46930
318	21942	46842
319	22004	46759
320	22066	46675
321	22128	46594
322	22200	46530
323	22266	46457
324	22329	46375
325	22399	46310
326	22460	46226
327	22526	46152
328	22594	46081
329	22654	45996
330	22721	45923
331	22791	45858
332	22865	45798
333	22931	45725
334	22993	45644
335	23060	45572
336	23128	45501
337	23204	45448
338	23274	45381
339	23340	45307
340	23404	45231
341	23467	45150
342	23540	45090
343	23598	45002
344	23679	44957
345	23744	44880
346	23809	44805
347	23869	44721
348	23931	44639
349	23992	44558
350	24064	44495
351	24138	44436
352	24261	44467
353	24340	44417
354	24413	44357
355	24480	44284
356	24545	44210
357	24628	44165
358	24721	44139
359	24791	44074
360	24868	44018
361	24936	43949
362	25022	43910
363	25097	43851
364	25156	43764
365	25226	43699
366	25290	43621
367	25354	43543
368	25436	43497
369	25515	43445
370	25585	43378
371	25650	43303
372	25734	43258
373	25810	43200
374	25886	43143
